set_number,filename,sensor_id,offset,reference_id,is_valid,omitted_reason
25,20250407_ln2_r49265_r49264_49250-49261_1,49250,0.0,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49251,-0.02000727544910183,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49252,0.03538014970059897,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49253,0.016791826347305847,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49254,0.0038725149700600007,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49255,0.02787745508982083,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49256,0.014192035928143873,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49257,0.005661017964072046,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49258,0.02023916167664695,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49259,0.02775365269461063,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49260,0.031221766467065797,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_1,49261,-0.017098023952095726,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49250,0.0,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49251,-0.018290632911392202,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49252,0.03615262658227864,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49253,0.021068132911392565,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49254,0.0043106012658230535,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49255,0.02696993670886092,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49256,0.012393924050633248,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49257,0.005172373417721408,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49258,0.019804208860759294,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49259,0.028542056962025174,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49261,-0.016601962025316615,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_2,49260,,49250,True,defectuoso (198 NaN > 40)
25,20250407_ln2_r49265_r49264_49250-49261_3,49250,0.0,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49251,-0.01642614925373167,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49252,0.03725611940298444,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49253,0.02130755223880576,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49254,0.004385402985074501,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49255,0.027367611940298287,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49256,0.012760208955223713,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49257,0.005173522388059413,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49258,0.01976388059701469,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49259,0.028921044776119294,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49260,0.031984059701492436,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_3,49261,-0.017037402985074942,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49250,0.0,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49251,-0.014466497005988548,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49252,0.03818422155688605,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49253,0.021371167664670815,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49254,0.0048059281437127154,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49255,0.027053952095808024,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49256,0.012449041916167735,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49257,0.005243592814370976,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49258,0.019524101796407192,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49259,0.028449071856287145,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49260,0.03186574850299387,49250,True,
25,20250407_ln2_r49265_r49264_49250-49261_4,49261,-0.01701335329341336,49250,True,
